scan,Reference Energy,resff_relative_energy,wb97m_relative_energy
160,0.193,0.17285156,0.15894575
170,0.066,0.080078125,0.06984075
180,0.061,0.076171875,0.05515725
-170,0.21,0.31152344,0.17413125
-160,0.721,0.86035156,0.553706
-150,1.444,1.5712891,1.12742925
-140,2.327,2.3164062,1.8703265
-130,3.222,3.140625,2.69329275
-120,3.951,4.0634766,3.449242
-110,3.954,6.198242,3.45972125
-100,3.734,6.2109375,3.2242205
-90,3.605,6.470703,3.09690075
-80,3.556,6.680664,3.0743735
-70,3.64,6.915039,3.18763725
-60,3.884,7.251953,3.46085075
-50,4.283,7.7695312,3.89068825
-40,4.826,8.358398,4.4601445
-30,5.478,8.883789,5.11531725
-20,6.197,9.412109,5.8230745
-10,7.051,7.551758,6.49380925
0,7.214,7.6816406,6.5753215
10,7.051,7.551758,6.49380925
20,6.197,9.410156,5.821694
30,5.478,8.884766,5.11531725
40,4.826,8.358398,4.4601445
50,4.283,7.7695312,3.89068825
60,3.884,7.251953,3.46085075
70,3.64,6.915039,3.18763725
80,3.556,6.6796875,3.0743735
90,3.605,6.470703,3.09690075
100,3.734,6.211914,3.2242205
110,3.954,6.1953125,3.45972125
120,3.951,4.0634766,3.449242
130,3.222,3.1396484,2.69329275
140,2.327,2.3154297,1.8703265
150,1.444,1.5712891,1.1273665
160,0.721,0.86035156,0.553706
170,0.21,0.3125,0.17413125
180,0,0,0
-170,0.626,0.52001953,0.49377975
-160,0.628,0.5131836,0.48122975
-150,0.636,0.56103516,0.48386525
-140,0.624,0.62402344,0.4752685
-130,0.577,0.6191406,0.451549
-120,0.498,0.5263672,0.39651725
-110,0.378,0.3564453,0.30038425
-100,0.226,0.2109375,0.17664125
-90,0.074,0.07714844,0.0488195
-80,0,0,0
-70,0.163,0.16113281,0.17613925
-60,0.705,0.71191406,0.72369575
-50,1.634,1.6533203,1.6170675
-40,2.786,2.8374023,2.69755975
-30,3.955,3.9345703,3.736386
-20,4.908,4.6679688,4.59737875
-10,5.545,5.1254883,5.18534625
0,5.74,5.2070312,5.37296875
10,5.543,5.1254883,5.184907
20,4.908,4.67041,4.59832
30,3.955,3.9365234,3.73757825
40,2.788,2.8413086,2.697999
50,1.632,1.6469727,1.61644
60,0.707,0.71435547,0.72344475
70,0.163,0.16064453,0.1758255
80,0,0.000976563,0
90,0.072,0.072753906,0.04850575
100,0.226,0.20654297,0.17664125
110,0.376,0.35351562,0.3003215
120,0.498,0.5283203,0.39639175
130,0.577,0.6191406,0.451298
140,0.622,0.625,0.47457825
150,0.636,0.56396484,0.48512025
160,0.628,0.5151367,0.48097875
170,0.626,0.52001953,0.4928385
180,0.634,0.5839844,0.49490925
-170,1.331,0.8984375,1.523319
-160,1.328,0.9609375,1.525829
-150,1.379,1.1318359,1.58889275
-140,1.525,1.4091797,1.75078775
-130,1.764,1.765625,2.00630575
-120,2.078,2.194336,2.32570325
-110,2.45,2.6777344,2.693481
-100,2.856,3.1748047,3.0786405
-90,3.23,3.7402344,3.40588175
-80,3.093,3.4433594,3.234888
-70,2.495,2.6435547,2.642779
-60,1.874,1.9384766,1.99927775
-50,1.272,1.2226562,1.357157
-40,0.756,0.62402344,0.80589825
-30,0.375,0.22949219,0.39865075
-20,0.189,0.08691406,0.1959055
-10,0.084,0.040039062,0.0832065
0,0,0,0
10,0.084,0.038085938,0.0832065
20,0.189,0.08691406,0.1959055
30,0.375,0.22949219,0.39865075
40,0.756,0.62402344,0.80589825
50,1.272,1.2226562,1.357157
60,1.874,1.9375,1.99927775
70,2.495,2.6435547,2.64284175
80,3.093,3.4433594,3.234888
90,3.23,3.7402344,3.405819
100,2.856,3.1748047,3.0786405
110,2.45,2.6777344,2.693481
120,2.078,2.194336,2.32570325
130,1.764,1.765625,2.00630575
140,1.525,1.4101562,1.75078775
150,1.379,1.1318359,1.58889275
160,1.328,0.9609375,1.52576625
170,1.331,0.8984375,1.52325625
180,1.176,0.7636719,1.3025645
-170,5.032,5.132324,4.588029
-160,5.589,5.6362305,5.0863895
-150,6.479,6.402832,5.88764425
-140,7.672,7.3999023,6.94849575
-130,9.12,8.673828,8.24001625
-120,10.757,10.166504,9.6942475
-110,12.502,11.794434,11.195604
-100,14.215,13.375,12.51341675
-90,14.982,13.745605,13.13062575
-80,12.569,12.306152,11.47314725
-70,9.873,10.3046875,9.1729205
-60,7.303,8.099121,6.84345225
-50,5.078,5.947754,4.76981575
-40,3.242,3.9882812,3.048144
-30,1.825,2.3466797,1.713577
-20,0.826,1.1210938,0.7737075
-10,0.219,0.34228516,0.19973325
0,0,0,0
10,0.217,0.34228516,0.19973325
20,0.826,1.121582,0.7737075
30,1.825,2.3461914,1.713577
40,3.242,3.9882812,3.048144
50,5.078,5.947754,4.769753
60,7.303,8.098145,6.84345225
70,9.873,10.305176,9.1729205
80,12.569,12.306152,11.47314725
90,14.982,13.744141,13.13062575
100,14.217,13.375,12.51341675
110,12.5,11.793945,11.195604
120,10.757,10.166016,9.6942475
130,9.12,8.673828,8.24001625
140,7.672,7.3999023,6.94849575
150,6.479,6.4033203,5.887707
160,5.589,5.6362305,5.0863895
170,5.032,5.132324,4.588029
180,4.835,4.9418945,4.4104465
-170,3.765,2.9697266,3.230872
-160,2.787,2.296875,2.41141975
-150,1.728,1.4472656,1.50920025
-140,0.836,0.68652344,0.753753
-130,0.246,0.18017578,0.25256875
-120,0,0,0.05051375
-110,0.076,0.15478516,0.124747
-100,0.19,0.3227539,0.25809075
-90,0.508,0.79296875,0.550192
-80,1.038,1.3012695,1.049431
-70,1.674,1.8344727,1.602635
-60,2.171,2.097168,1.9777545
-50,2.333,2.055664,2.030841
-40,2.04,1.8144531,1.71276125
-30,1.414,1.328125,1.1394145
-20,0.748,0.8310547,0.5583495
-10,0.281,0.43115234,0.159887
0,0.094,0.1616211,0
10,0.281,0.42871094,0.15882025
20,0.75,0.83154297,0.55973
30,1.412,1.3276367,1.1391635
40,2.042,1.8115234,1.71351425
50,2.333,2.0600586,2.029586
60,2.171,2.097168,1.9782565
70,1.672,1.8378906,1.6022585
80,1.038,1.2993164,1.048427
90,0.506,0.79541016,0.5503175
100,0.19,0.32714844,0.25853
110,0.076,0.15429688,0.1233665
120,0.002,0.001953125,0.05189425
130,0.244,0.17626953,0.2518785
140,0.838,0.6894531,0.75481975
150,1.726,1.4487305,1.50857275
160,2.789,2.2944336,2.4122355
170,3.765,2.9658203,3.23068375
180,4.208,3.2207031,3.57166725
-170,8.751,8.015625,8.3335765
-160,9.276,8.446289,8.71089225
-150,10.102,9.045898,9.287753
-140,11.156,9.788086,10.025191
-130,12.352,10.647949,10.831403
-120,13.603,11.5703125,11.617535
-110,14.75,12.3984375,12.203118
-100,15.463,12.782715,12.3994
-90,14.989,12.264648,12.03965425
-80,13.101,10.964355,10.85556175
-70,10.573,9.384277,9.05538975
-60,7.963,7.57959,7.00283725
-50,5.564,5.703125,4.998916
-40,3.555,3.8652344,3.218071
-30,1.963,2.2719727,1.8058195
-20,0.837,1.0595703,0.7973015
-10,0.191,0.2841797,0.19283075
0,0,0,0
10,0.191,0.28222656,0.1926425
20,0.835,1.0581055,0.79698775
30,1.965,2.2739258,1.80789025
40,3.553,3.8657227,3.21782
50,5.57,5.703125,5.003685
60,7.963,7.5839844,7.00283725
70,10.573,9.38623,9.05589175
80,13.101,10.963867,10.85581275
90,14.993,12.263672,12.040721
100,15.463,12.778809,12.3980195
110,14.75,12.398926,12.20205125
120,13.603,11.564941,11.6156525
130,12.354,10.650391,10.832658
140,11.156,9.7890625,10.02512825
150,10.1,9.044434,9.28630975
160,9.276,8.445801,8.71264925
170,8.753,8.01709,8.33376475
180,8.58,7.866699,8.205692
-170,0.143,0.16210938,0.12355475
-160,0.455,0.53222656,0.400596
-150,0.993,1.1455078,0.903349
-140,1.749,1.96875,1.627986
-130,2.675,2.9199219,2.51608675
-120,3.689,3.9121094,3.498438
-110,4.714,4.8222656,4.42418875
-100,5.504,5.4882812,5.092288
-90,5.799,5.7529297,5.3461745
-80,5.522,5.5410156,5.108854
-70,4.769,4.8808594,4.46924325
-60,3.761,3.9560547,3.57216925
-50,2.766,2.9628906,2.6057565
-40,1.82,2.0078125,1.695505
-30,1.035,1.1757812,0.946772
-20,0.471,0.5517578,0.4180405
-10,0.186,0.21191406,0.16471875
0,0,0,0
10,0.186,0.21191406,0.16471875
20,0.471,0.55078125,0.41810325
30,1.035,1.1757812,0.94696025
40,1.82,2.0078125,1.695505
50,2.766,2.9628906,2.6057565
60,3.761,3.9570312,3.572232
70,4.769,4.8808594,4.46924325
80,5.522,5.5410156,5.108854
90,5.799,5.7529297,5.34611175
100,5.504,5.4882812,5.092288
110,4.714,4.8222656,4.42418875
120,3.689,3.9121094,3.498438
130,2.675,2.9199219,2.51608675
140,1.749,1.96875,1.627986
150,0.993,1.1494141,0.9034745
160,0.455,0.53222656,0.4007215
170,0.143,0.16210938,0.12355475
180,0.003,0.002929688,0.00194525
-170,2.139,2.2578125,2.1569685
-160,1.047,1.2167969,1.118456
-150,0.251,0.39746094,0.310738
-140,0,0,0
-130,0.26,0.04296875,0.1622715
-120,0.898,0.4501953,0.65931425
-110,1.686,1.1337891,1.29597575
-100,2.341,1.6201172,1.8208795
-90,2.596,1.7402344,2.0063685
-80,2.343,1.6386719,1.8284095
-70,1.687,1.1386719,1.2998035
-60,0.904,0.4609375,0.664899
-50,0.261,0.052734375,0.16296175
-40,0.01,0.020507812,0.01085575
-30,0.281,0.4501953,0.34832525
-20,1.104,1.3476562,1.198274
-10,2.208,2.430664,2.252474
0,3.105,3.2041016,3.0050975
10,2.208,2.430664,2.252474
20,1.104,1.3476562,1.19846225
30,0.281,0.4501953,0.34819975
40,0.01,0.020507812,0.011044
50,0.261,0.05078125,0.16296175
60,0.904,0.4638672,0.6647735
70,1.687,1.1386719,1.29974075
80,2.343,1.6386719,1.8284095
90,2.596,1.7402344,2.0063685
100,2.341,1.6210938,1.820754
110,1.686,1.1318359,1.29597575
120,0.898,0.45410156,0.65931425
130,0.26,0.044921875,0.162146
140,0,0.00390625,6.27E-05
150,0.251,0.3984375,0.31067525
160,1.047,1.2177734,1.118456
170,2.139,2.258789,2.1569685
180,2.989,3.0097656,2.86936925
-170,0.26,0.32128906,0.22088
-160,0.949,1.1162109,0.8718485
-150,1.903,2.1357422,1.74903075
-140,2.885,3.069336,2.60895675
-130,3.648,3.6484375,3.2352645
-120,3.928,3.833496,3.4501205
-110,3.622,3.621582,3.20985075
-100,2.857,3.0234375,2.566475
-90,1.869,2.0927734,1.69958375
-80,0.927,1.0883789,0.83501425
-70,0.252,0.31054688,0.2104635
-60,0,0,0
-50,0.251,0.31640625,0.217868
-40,0.929,1.1020508,0.855659
-30,1.872,2.1113281,1.7219855
-20,2.856,3.0498047,2.58097025
-10,3.633,3.640625,3.22014175
0,3.933,3.8364258,3.45168925
10,3.631,3.640625,3.2197025
20,2.86,3.052246,2.58260175
30,1.872,2.116211,1.72242475
40,0.929,1.1049805,0.8552825
50,0.251,0.31835938,0.217617
60,0.002,0.000976563,0.0003765
70,0.252,0.3076172,0.20989875
80,0.929,1.0908203,0.8357045
90,1.869,2.0913086,1.69970925
100,2.853,3.0219727,2.56402775
110,3.624,3.618164,3.21029
120,3.93,3.836914,3.450497
130,3.646,3.6513672,3.234637
140,2.885,3.0664062,2.60945875
150,1.901,2.1342773,1.74852875
160,0.951,1.1181641,0.87304075
170,0.26,0.31835938,0.220629
180,0.003,0.006835938,0.001506
-170,2.216,2.3198242,2.257996
-160,1.79,1.8334961,1.8208795
-150,1.457,1.4667969,1.481653
-140,1.18,1.1171875,1.15177625
-130,0.921,0.6479492,0.840599
-120,0.625,0.26513672,0.52364875
-110,0.36,0.051757812,0.268821
-100,0.154,0.000976563,0.093874
-90,0.012,0.013183594,0
-80,0,0.040039062,0.0382775
-70,0.3,0.3305664,0.38848525
-60,1.176,1.3183594,1.2865005
-50,2.607,2.944336,2.65062275
-40,4.118,4.3808594,3.97929125
-30,5.023,4.743164,4.7907115
-20,5.692,5.0131836,5.44651175
-10,6.15,5.107422,5.8905935
0,6.372,5.048828,6.126408
10,6.148,5.111328,5.8905935
20,5.694,5.0112305,5.44626075
30,5.023,4.7456055,4.790335
40,4.116,4.3828125,3.97916575
50,2.611,2.940918,2.65212875
60,1.178,1.3198242,1.2890105
70,0.302,0.3334961,0.389301
80,0,0.04345703,0.0390305
90,0.012,0.014160156,0.00144325
100,0.154,0,0.09356025
110,0.36,0.05126953,0.26687575
120,0.625,0.26513672,0.5242135
130,0.921,0.6508789,0.840348
140,1.18,1.1162109,1.15265475
150,1.457,1.4604492,1.48108825
160,1.79,1.8364258,1.82219725
170,2.216,2.3198242,2.25881175
180,2.75,2.8515625,2.77838175
-170,0.207,0.22851562,0.208581
-160,0.392,0.38867188,0.36413825
-150,0.918,0.8847656,0.85082725
-140,1.746,1.6777344,1.64762675
-130,2.83,2.7324219,2.6991285
-120,4.056,3.96875,3.90010075
-110,5.235,5.236328,5.0407075
-100,6.272,6.248047,5.88413025
-90,6.654,6.591797,6.1772355
-80,6.267,6.2373047,5.87961225
-70,5.26,5.2578125,5.06474075
-60,4.084,3.9921875,3.92645575
-50,2.858,2.7617188,2.7244795
-40,1.759,1.6943359,1.66017675
-30,0.92,0.8886719,0.85622375
-20,0.392,0.38476562,0.364703
-10,0.235,0.25683594,0.23487325
0,0.001,0.012695313,0.002761
10,0.235,0.2548828,0.2355635
20,0.392,0.38964844,0.36325975
30,0.92,0.890625,0.85835725
40,1.759,1.6972656,1.66162
50,2.858,2.7617188,2.726111
60,4.084,3.9951172,3.92733425
70,5.262,5.2558594,5.06549375
80,6.267,6.239258,5.8808045
90,6.652,6.5878906,6.17780025
100,6.274,6.2509766,5.8848205
110,5.235,5.239258,5.04152325
120,4.056,3.9638672,3.89545725
130,2.83,2.7353516,2.697497
140,1.746,1.6816406,1.6509525
150,0.918,0.8779297,0.85132925
160,0.392,0.38476562,0.363699
170,0.207,0.22363281,0.20751425
180,0,0,0
-170,1.835,2.0361328,2.060908637
-160,1.445,1.5888672,1.646550595
-150,1.179,1.074707,1.333266752
-140,0.956,0.55322266,1.073413954
-130,0.787,0.14355469,0.79502877
-120,0.584,0,0.51326461
-110,0.29799998,0.037597656,0.235480732
-100,0.02,0.05859375,0.011182636
-90,0,0.25,0.002133278
-80,0.439,0.75878906,0.385184535
-70,0.936,0.5986328,0.309482974
-60,0.83,0.84716797,0.330980842
-50,1.227,1.5078125,0.872090425
-40,2.141,2.5791016,1.854982804
-30,3.4859998,3.8544922,3.224541896
-20,5.0610003,5.0654297,4.768171759
-10,6.586,5.991211,6.230656134
0,7.736,6.5664062,7.336276069
10,6.586,5.9907227,6.230519596
20,5.0610003,5.0654297,4.769852003
30,3.4859998,3.852539,3.224586481
40,2.141,2.5795898,1.857857272
50,1.225,1.5087891,0.872208553
60,0.83,0.8461914,0.332848292
70,0.936,0.59716797,0.308776023
80,0.439,0.7578125,0.384471118
90,0,0.24804688,0
100,0.022,0.053710938,0.011376676
110,0.3,0.044921875,0.235064769
120,0.584,0.000488281,0.515431454
130,0.789,0.14794922,0.797232636
140,0.956,0.5522461,1.072148403
150,1.179,1.0791016,1.335901324
160,1.445,1.5888672,1.648005477
170,1.835,2.036621,2.061524747
180,2.412,2.5185547,2.64969031
-170,1.169,1.6435547,0.881512
-160,1.539,2.0219727,1.252239
-150,2.218,2.6499023,1.89285375
-140,3.194,3.5483398,2.793128
-130,4.441,4.685547,3.9071915
-120,5.868,5.979004,5.15171225
-110,7.345,7.3129883,6.366615
-100,8.653,8.595215,7.30604525
-90,9.237,9.278809,7.72609375
-80,8.463,8.82373,7.38661625
-70,6.987,7.678711,6.30731625
-60,5.361,6.242676,4.943947
-50,3.854,4.715332,3.604109
-40,2.57,3.256836,2.414118
-30,1.523,1.9824219,1.4318295
-20,0.713,0.9614258,0.6777
-10,0.192,0.2626953,0.18454775
0,0,0,0
10,0.19,0.2626953,0.18454775
20,0.713,0.9614258,0.6777
30,1.523,1.9829102,1.4318295
40,2.57,3.2563477,2.414118
50,3.854,4.715332,3.604109
60,5.361,6.242676,4.943947
70,6.989,7.678711,6.30731625
80,8.463,8.824219,7.38661625
90,9.237,9.279297,7.72609375
100,8.653,8.595215,7.306108
110,7.345,7.3134766,6.36655225
120,5.868,5.979004,5.15171225
130,4.443,4.6850586,3.90725425
140,3.194,3.5488281,2.793128
150,2.218,2.6499023,1.89285375
160,1.539,2.0219727,1.252239
170,1.169,1.6435547,0.881512
180,1.059,1.5185547,0.759275
-170,4.334,2.1044922,3.59162175
-160,3.103,1.6435547,2.62313825
-150,1.846,0.9746094,1.56103175
-140,0.851,0.3984375,0.708322
-130,0.213,0.001953125,0.169174
-120,0,0.05078125,6.28E-05
-110,0.233,0.5410156,0.2378225
-100,0.832,1.3876953,0.8618085
-90,1.712,2.524414,1.76722825
-80,2.004,3.4736328,1.60495675
-70,2.021,3.8964844,1.66394175
-60,2.05,3.9111328,1.729641
-50,2.135,3.9345703,1.84177525
-40,2.273,4.126953,1.97166775
-30,2.473,4.411133,2.14912475
-20,2.981,4.6640625,2.37627975
-10,3.662,4.870117,2.63480975
0,4.249,5.0683594,2.8590155
10,3.662,4.8691406,2.6348725
20,2.981,4.663086,2.3763425
30,2.473,4.4101562,2.14912475
40,2.273,4.125,1.97166775
50,2.135,3.930664,1.84177525
60,2.05,3.9091797,1.729641
70,2.021,3.8964844,1.66394175
80,2.004,3.4746094,1.60495675
90,1.712,2.524414,1.76722825
100,0.832,1.3886719,0.8618085
110,0.233,0.5390625,0.23775975
120,0,0.049804688,0
130,0.213,0,0.169174
140,0.851,0.39746094,0.708322
150,1.846,0.9785156,1.56103175
160,3.103,1.6435547,2.62313825
170,4.334,2.1035156,3.591559
180,4.903,1.9980469,3.97565175
-170,0.206,0.20117188,0.19898025
-160,0.716,0.6982422,0.68792825
-150,1.576,1.5205078,1.50116825
-140,2.79,2.6396484,2.62577375
-130,4.281,3.9941406,3.9935355
-120,5.969,5.4375,5.517231
-110,7.683,6.696289,7.00697875
-100,9.18,7.5820312,8.23750625
-90,10.054,7.932617,8.92110475
-80,9.953,8.134766,8.85797825
-70,9.119,7.963867,8.26310825
-60,8.054,7.229492,7.3827885
-50,7.046,6.390625,6.47674125
-40,6.203,5.661133,5.68659325
-30,5.598,5.1328125,5.10741075
-20,5.268,4.84375,4.788829
-10,5.202,4.772461,4.71748225
0,5.103,4.6132812,4.5479945
10,5.204,4.779297,4.720055
20,5.268,4.8398438,4.7894565
30,5.596,5.1240234,5.10502625
40,6.203,5.663086,5.68734625
50,7.046,6.3916016,6.47586275
60,8.058,7.2373047,7.38636525
70,9.119,7.966797,8.26210425
80,9.953,8.135742,8.859045
90,10.056,7.932617,8.92305
100,9.178,7.5771484,8.2349335
110,7.683,6.696289,7.00446875
120,5.963,5.430664,5.512462
130,4.285,3.9941406,3.996422
140,2.788,2.6376953,2.62188325
150,1.578,1.5214844,1.5026115
160,0.716,0.6972656,0.687991
170,0.206,0.20410156,0.195529
180,0,0,0
-170,2.925,2.6992188,2.83498225
-160,3.361,3.4042969,3.2360175
-150,4.066,4.3374023,3.84124125
-140,4.892,5.3164062,4.523773
-130,5.565,6.007324,5.0530065
-120,5.675,5.875,4.878185
-110,4.941,5.0617676,4.2656195
-100,3.724,3.8063965,3.24950875
-90,2.332,2.418213,2.06027075
-80,1.075,1.2026367,0.9659735
-70,0.259,0.29492188,0.20789075
-60,0,0.001708984,0.000502
-50,0.538,0.31982422,0.48461825
-40,1.782,1.2697754,1.61687925
-30,3.485,2.793213,3.15274825
-20,4.866,4.088135,3.986633
-10,5.806,5.149658,4.80081425
0,6.193,5.529785,5.18007525
10,5.806,5.150635,4.8005005
20,4.866,4.085449,3.9862565
30,3.483,2.791504,3.15199525
40,1.786,1.2683105,1.61813425
50,0.54,0.31689453,0.48549675
60,0,0,0
70,0.259,0.29125977,0.207075
80,1.071,1.2001953,0.964844
90,2.332,2.4162598,2.059957
100,3.722,3.8044434,3.24938325
110,4.941,5.0615234,4.2651175
120,5.675,5.875,4.87787125
130,5.567,6.008545,5.05319475
140,4.892,5.314453,4.524024
150,4.068,4.3378906,3.84086475
160,3.361,3.4042969,3.2357665
170,2.927,2.701416,2.83535875
180,2.739,2.3483887,2.64522625
-170,0.149,0.13574219,0.13303
-160,0.031,0.040039062,0.04800375
-150,0.284,0.31347656,0.31368725
-140,0.803,0.89941406,0.90692575
-130,1.428,1.5361328,1.57333075
-120,2.007,2.2109375,2.20748225
-110,2.549,2.9648438,2.8211145
-100,3.138,3.8076172,3.46449025
-90,3.759,4.6259766,4.12424375
-80,3.11,3.7597656,3.42533425
-70,2.456,2.8398438,2.72931125
-60,1.867,2.0585938,2.09440675
-50,1.285,1.3974609,1.4832845
-40,0.723,0.7783203,0.84894475
-30,0.25,0.2705078,0.30578075
-20,0,0.002929688,0
-10,0.135,0.0625,0.03012
0,0.649,0.53222656,0.513295
10,0.133,0.060546875,0.028865
20,0,0,0.00031375
30,0.25,0.26757812,0.305467
40,0.723,0.7763672,0.8495095
50,1.287,1.3974609,1.483912
60,1.867,2.0566406,2.09428125
70,2.456,2.8398438,2.72843275
80,3.11,3.7597656,3.42395375
90,3.757,4.6240234,4.12361625
100,3.136,3.8066406,3.4641765
110,2.551,2.9697266,2.822495
120,2.007,2.2109375,2.20760775
130,1.43,1.5400391,1.5748995
140,0.807,0.8964844,0.9089965
150,0.284,0.31347656,0.31381275
160,0.031,0.0390625,0.04925875
170,0.149,0.13574219,0.1313985
180,0.593,0.57714844,0.551196
-170,0.495,0.35253906,0.4016
-160,0.105,0.06738281,0.07988075
-150,0,0.001953125,0
-140,0.328,0.21386719,0.2584045
-130,1.007,0.7685547,0.875237
-120,2.008,1.5556641,1.7169655
-110,3.061,2.4638672,2.59176325
-100,3.883,3.1289062,3.2453045
-90,4.206,3.3417969,3.484382
-80,3.886,3.1669922,3.23934325
-70,3.055,2.5,2.58084475
-60,2.004,1.5791016,1.715836
-50,1.007,0.7685547,0.87442125
-40,0.334,0.21679688,0.2646795
-30,0.012,0.014648438,0.00847125
-20,0.134,0.13476562,0.1153345
-10,0.528,0.46191406,0.46265575
0,0.92,0.7470703,0.780359
10,0.528,0.4609375,0.46265575
20,0.134,0.13867188,0.1153345
30,0.012,0.012695313,0.00847125
40,0.334,0.21679688,0.2646795
50,1.007,0.7685547,0.87442125
60,2.004,1.578125,1.715836
70,3.055,2.4990234,2.5809075
80,3.886,3.1669922,3.23934325
90,4.206,3.3417969,3.48444475
100,3.883,3.1259766,3.2453045
110,3.061,2.4648438,2.59176325
120,2.008,1.5556641,1.7169655
130,1.007,0.7685547,0.875237
140,0.328,0.21484375,0.2584045
150,0,0,0
160,0.107,0.06738281,0.07975525
170,0.495,0.35253906,0.4016
180,0.892,0.67089844,0.72306825
-170,2.266,2.1791992,1.948513
-160,1.727,1.7836914,1.494705
-150,1.113,1.2421875,0.96892275
-140,0.554,0.63964844,0.476649
-130,0.158,0.18554688,0.13510075
-120,0,0,0
-110,0.105,0.099121094,0.079065
-100,0.462,0.47070312,0.36438925
-90,0.987,1.034668,0.818762
-80,1.59,1.59375,1.3377045
-70,2.146,2.038086,1.8196245
-60,2.533,2.2895508,2.1296095
-50,2.619,2.3222656,2.182445
-40,2.334,2.1000977,1.9365905
-30,1.748,1.7080078,1.46213775
-20,1.057,1.2373047,0.9089965
-10,0.555,0.8598633,0.477151
0,0.374,0.68310547,0.2847595
10,0.466,0.76416016,0.385285
20,0.808,1.0629883,0.7516195
30,1.351,1.5556641,1.29258725
40,1.981,2.0917969,1.8492425
50,2.419,2.4208984,2.25015225
60,2.577,2.5463867,2.40916075
70,2.502,2.5073242,2.3467245
80,2.176,2.272461,2.05349375
90,1.602,1.8295898,1.54873275
100,1.012,1.2817383,0.9815355
110,0.587,0.8852539,0.52528025
120,0.38,0.6894531,0.29448575
130,0.444,0.7441406,0.35008225
140,0.814,1.0527344,0.68453975
150,1.485,1.4990234,1.211326
160,2.158,1.9511719,1.76045125
170,2.572,2.2617188,2.12515425
180,2.589,2.3398438,2.1838255
-170,5.63,3.359375,3.92884025
-160,4.047,3.2695312,3.96925125
-150,3.304,2.6503906,3.36760425
-140,2.802,2.0107422,2.89120625
-130,2.452,1.5820312,2.55022275
-120,2.152,0.8876953,1.6838335
-110,1.112,0.20507812,0.86061625
-100,0.338,0.002929688,0.25834175
-90,0,0.0234375,0
-80,0.17,0.15332031,0.1677935
-70,0.893,0.5332031,0.7915285
-60,2.027,1.234375,1.70924725
-50,2.537,1.6162109,2.62527175
-40,2.952,2.1083984,3.026558
-30,3.557,2.743164,3.54970475
-20,4.278,3.2714844,4.1433825
-10,5.643,3.3164062,3.92394575
0,5.701,3.3203125,3.98029525
10,5.645,3.3144531,3.927146
20,4.28,3.2841797,4.14520225
30,3.557,2.734375,3.54832425
40,2.952,2.1113281,3.02599325
50,2.537,1.6201172,2.62740525
60,2.025,1.2304688,1.7068
70,0.891,0.53515625,0.78857925
80,0.17,0.15234375,0.16798175
90,0,0.020507812,0.000502
100,0.34,0,0.2584045
110,1.114,0.20996094,0.86375375
120,2.15,0.8876953,1.6838335
130,2.452,1.5742188,2.5465205
140,2.802,2.0058594,2.89032775
150,3.304,2.6572266,3.367416
160,4.049,3.2695312,3.97100825
170,5.63,3.3603516,3.9325425
180,5.705,3.321289,3.97690675
-170,2.875,1.5927734,2.60079925
-160,3.274,1.9782715,2.94542225
-150,3.748,2.4604492,3.3411865
-140,4.109,2.897705,3.62751475
-130,4.197,3.1274414,3.67256925
-120,3.909,3.052002,3.398038
-110,3.25,2.678955,2.80448575
-100,2.332,2.0378418,1.980892
-90,1.326,1.2731934,1.09868975
-80,0.465,0.5214844,0.36426375
-70,0,0,0.00018825
-60,0.163,0.055664062,0.17676675
-50,0.924,0.6706543,0.932214
-40,2.18,1.604248,2.15991775
-30,3.756,2.6169434,3.6235615
-20,5.329,3.53125,5.04077025
-10,6.565,4.211914,6.1436015
0,7.214,4.631592,6.711991
10,6.565,4.2106934,6.14353875
20,5.327,3.5351562,5.0392015
30,3.76,2.6174316,3.62588325
40,2.18,1.6052246,2.16067075
50,0.924,0.6687012,0.93302975
60,0.163,0.055419922,0.176453
70,0,0.002685547,0
80,0.465,0.52075195,0.36401275
90,1.326,1.2702637,1.09868975
100,2.33,2.0356445,1.98007625
110,3.25,2.6779785,2.804674
120,3.909,3.0524902,3.39797525
130,4.195,3.128662,3.67213
140,4.109,2.89917,3.62726375
150,3.748,2.4624023,3.341061
160,3.274,1.9768066,2.94592425
170,2.873,1.5905762,2.59979525
180,2.692,1.4912109,2.438465
-170,0.231,0.20898438,0.196533
-160,0.835,0.78222656,0.71277725
-150,1.79,1.6855469,1.5196795
-140,3.043,2.868164,2.5648435
-130,4.479,4.1992188,3.7508185
-120,5.988,5.533203,4.966788
-110,7.379,6.6728516,6.0534925
-100,8.473,7.510742,6.9033785
-90,9.126,7.970703,7.389942
-80,9.245,8.082031,7.48638875
-70,8.892,7.8964844,7.26701475
-60,8.284,7.544922,6.89038925
-50,7.678,7.15625,6.51539525
-40,7.217,6.875,6.26527375
-30,6.989,6.767578,6.20390425
-20,6.991,6.8291016,6.32413325
-10,7.118,6.919922,6.500398
0,7.015,6.651367,6.37257625
10,7.118,6.919922,6.500398
20,6.991,6.8271484,6.32413325
30,6.989,6.767578,6.20390425
40,7.217,6.875,6.26527375
50,7.678,7.15625,6.51539525
60,8.284,7.544922,6.89038925
70,8.892,7.8964844,7.26701475
80,9.245,8.082031,7.48638875
90,9.126,7.970703,7.389942
100,8.473,7.5097656,6.9033785
110,7.379,6.6728516,6.05355525
120,5.988,5.533203,4.966788
130,4.479,4.1992188,3.7508185
